id	citations	year
1977105351	0	2015
2108637335	35	2008
1995600926	0	1979
2070684455	10	1982
2244375654	3	1971
2085525769	10	2005
2246092562	0	2010
2101660510	0	2003
1520462150	33	2009
2185015207	0	1998
1522625270	0	2005
2109041986	163	2007
2145901087	0	2008
107965957	183	1999
1822162008	22	2002
1967465622	1	2000
1895998863	0	2015
2092256492	12	2004
2013882421	26	2008
2134697699	0	2014
1181506463	0	2004
1483637991	72	2003
1848649082	0	2005
2081518835	20	1997
2001264593	46	2012
2026610378	1	1992
1781067598	0	2014
105801264	0	1992
1982524327	1	1993
2043591543	2	2009
2122061812	3	2016
2230465970	6	2000
2001268685	64	2007
2166703188	3	2009
1544741106	0	2014
177437218	0	2012
2020881995	0	2004
1190394265	0	1999
2070673059	0	1897
2057647617	1	1994
2109232227	1	1998
2032561058	79	1983
2014514218	0	1953
2014219119	4	2014
1658586126	1	2015
2029227333	10	2006
1233499	0	2004
1528456477	1	1990
1573303558	0	2014
2028900912	3	1951
2044620768	33	1988
2021025067	0	2009
1967561064	16	2014
1520029247	12	2009
1623290125	0	1978
1554170534	0	2012
1036717744	0	2005
2214004116	0	2003
2028103331	0	2012
2070511502	0	2002
2158024361	1	1996
2149629558	3	2009
2011792635	7	1977
2164378260	3	2005
2161261206	3	2013
1591163846	0	2007
1978264144	0	2009
2020274701	0	1911
2074895890	6	2010
186531590	0	2012
1977102730	0	2003
1848012615	0	2015
2247165133	0	2014
1570036683	0	1963
1860693560	58	2004
2078139771	7	1996
2012519956	27	2001
2103904699	7	2008
166641586	0	2013
1491490216	0	2005
1870856103	0	2013
1529575270	0	1979
123590498	0	1956
2144778986	2	2013
2057695584	18	1984
2113864191	24	2001
2029718880	12	2011
2101450001	685	2001
1707710985	0	2013
1993450847	72	1998
2063597232	1	1970
2092398838	0	1882
2224113107	0	2008
193084588	0	1994
1010956720	0	2005
2111545591	0	1964
2083984275	0	1913
2110566722	36	2003
2183139734	1	2006
1554327826	0	2011
2018237637	147	1975
1764749986	1	1996
2039160931	8	1993
1604338670	0	1971
2089378283	0	2008
2031153705	0	2013
104376205	0	2013
206584358	3	2004
1965476292	6	2004
1810426287	4	2004
2001251120	24	2003
1027456476	0	2001
160905712	0	2008
1624061926	4	2004
2149790613	8	2009
2069902179	7	1966
1505792929	116	1997
1989274299	13	2010
2208866143	0	2006
2002975101	0	2011
2084020409	8	1966
2239253444	0	1998
1644006155	0	2003
2150527175	0	1973
2048663962	19	1991
1907688709	0	2015
1516716511	0	2006
1968724677	0	1881
2108815022	4	2009
1970342618	6	1959
2167812153	29	2008
1980255271	12	1999
2013660836	10	2006
2083032586	0	1968
165198754	0	2006
2188933433	1	2012
2005450375	0	1999
2247092641	0	2002
2097552710	11	2010
2091424018	2	2013
1416276630	0	2014
2076300534	0	1984
1641859811	0	2009
2045994928	0	2008
2127950706	62	2004
2115536950	6	1991
1987152275	0	2014
2004542492	4	1997
2053664394	1	1905
1516520282	0	2010
2075312594	67	1999
1606058336	0	2001
2186299119	0	2014
2181089645	1	2005
1573441146	0	1999
1905303741	8	1974
1565323458	2	1980
2031920004	0	1982
18205744	20	2003
2214786225	1	1994
1600146888	5	1991
1977933667	0	2002
2152980845	71	2006
1991451939	10	1969
2058737885	6	2010
2108518688	0	2010
2108580431	14	2012
2118498549	4	2009
148298177	2	2004
2154030027	0	2013
2108578429	0	1995
1989252203	20	1983
1967350099	13	1977
2029123393	1	2008
2013215605	0	1881
155624722	5	1974
2056722715	2	2011
1990637994	46	1991
2109893462	5	2010
2160405712	67	2010
2030447908	3	2008
2041947329	3	2006
2072851770	23	2002
2046932690	17	1991
2022917579	0	1989
2057601421	161	2000
195788840	0	2003
2245208318	3	1966
2067749059	11	2002
1528969519	0	2006
2116190434	151	2007
2006679630	10	2014
2048128572	24	2014
2012486991	2	1973
171812611	0	1989
2183929529	0	2005
1515576196	2	2005
2034463226	31	2006
2017269641	2	2008
1533567429	14	2004
133852964	0	1922
2108910161	1	1996
2029413205	79	2009
1027823637	0	1969
1513929829	0	1994
2029702352	1	2014
2068393758	0	2009
119951315	0	1997
2011934241	6	2014
1623716586	0	2000
2095657703	45	2008
